ts,o,h,l,c,v
1736174700,42036.85,42083.46,42029.48,42062.88,3021
1736175600,42062.88,42145.66,42043.42,42116.32,3068
1736176500,42116.32,42197.62,42071.0,42178.9,2908
1736177400,42178.9,42209.0,42165.97,42179.78,3015
1736178300,42179.78,42205.05,42148.34,42149.15,3014
1736179200,42149.15,42197.72,42133.99,42168.92,2995
1736180100,42168.92,42187.05,42128.63,42176.73,3016
1736181000,42176.73,42249.88,42139.93,42210.42,3025
1736181900,42210.42,42230.72,42159.52,42186.16,3082
1736182800,42186.16,42225.4,42182.48,42203.86,2937
1736183700,42203.86,42284.44,42200.75,42258.0,3038
1736184600,42258.0,42263.06,42200.1,42221.17,2980
1736185500,42221.17,42289.21,42207.34,42268.18,3065
1736186400,42268.18,42308.26,42161.0,42172.4,3058
1736187300,42172.4,42192.2,42085.92,42096.86,3093
1736188200,42096.86,42154.34,42029.46,42030.81,2965
1736189100,42030.81,42073.35,42011.93,42069.91,3082
1736190000,42069.91,42074.38,42034.19,42039.08,2947
1736190900,42039.08,42075.81,42036.16,42069.2,2878
1736191800,42069.2,42106.06,41951.03,42008.97,2885
1736192700,42008.97,42013.88,41971.99,41999.03,3061
1736193600,41999.03,42032.63,41962.75,41965.04,3065
1736194500,41965.04,41987.07,41886.98,41895.84,3017
1736195400,41895.84,41907.6,41845.28,41848.52,3034
1736196300,41848.52,41861.73,41796.34,41822.78,2994
1736197200,41822.78,41830.91,41808.67,41817.61,3118
1736198100,41817.61,41843.99,41740.66,41748.84,3112
1736199000,41748.84,41757.45,41698.4,41746.54,2925
1736199900,41746.54,41785.19,41725.68,41758.63,3017
1736200800,41758.63,41798.88,41719.39,41778.3,3014
1736205300,41778.3,41785.54,41712.01,41759.83,2953
1736206200,41759.83,41791.23,41752.81,41781.18,3024
1736207100,41781.18,41807.45,41740.41,41768.6,3020
1736208000,41768.6,41819.19,41766.34,41783.8,3095
1736208900,41783.8,41803.05,41768.93,41779.56,3061
1736209800,41779.56,41830.45,41752.75,41814.0,2883
1736210700,41814.0,41848.26,41790.88,41840.63,3040
1736211600,41840.63,41877.6,41712.79,41746.45,2936
1736212500,41746.45,41819.6,41663.14,41676.53,2969
1736213400,41676.53,41683.86,41601.41,41603.86,3004
1736214300,41603.86,41625.94,41534.14,41574.17,3009
1736215200,41574.17,41648.75,41539.67,41644.04,2983
1736216100,41644.04,41661.04,41605.52,41654.68,2935
1736217000,41654.68,41665.81,41598.22,41636.76,2966
1736217900,41636.76,41756.47,41617.4,41697.46,2957
1736218800,41697.46,41718.26,41691.22,41713.84,3044
1736219700,41713.84,41731.27,41651.99,41668.31,3063
1736220600,41668.31,41737.22,41666.16,41687.08,3088
1736221500,41687.08,41717.74,41618.53,41640.4,2984
1736222400,41640.4,41665.93,41618.25,41647.08,2946
1736223300,41647.08,41660.59,41614.49,41619.11,3015
1736224200,41619.11,41658.31,41614.44,41636.17,2996
1736225100,41636.17,41717.57,41607.71,41658.23,3048
1736226000,41658.23,41746.82,41629.26,41697.6,3008
1736226900,41697.6,41811.46,41691.46,41781.27,3039
1736227800,41781.27,41822.06,41732.89,41764.51,3047
1736228700,41764.51,41814.8,41720.69,41808.83,2986
1736229600,41808.83,41891.59,41793.1,41876.06,3098
1736230500,41876.06,41944.18,41862.74,41902.43,2921
1736231400,41902.43,41913.49,41816.21,41836.15,3040
1736232300,41836.15,41867.48,41800.27,41852.29,3067
1736233200,41852.29,41885.12,41840.63,41869.78,2984
1736234100,41869.78,41967.28,41810.07,41941.48,2976
1736235000,41941.48,41989.49,41917.89,41925.58,2963
1736235900,41925.58,41939.94,41861.64,41874.62,3036
1736236800,41874.62,41984.82,41866.27,41980.56,2931
1736237700,41980.56,41984.64,41889.27,41898.94,2999
1736238600,41898.94,42013.23,41884.4,41985.84,3021
1736239500,41985.84,42027.83,41973.53,41973.97,3006
1736240400,41973.97,42016.43,41933.88,41974.12,3088
1736241300,41974.12,41993.59,41844.49,41851.23,2967
1736242200,41851.23,41905.44,41792.29,41896.79,3009
1736243100,41896.79,41917.02,41877.23,41892.71,3055
1736244000,41892.71,41904.58,41855.77,41875.34,2918
1736244900,41875.34,41883.12,41852.43,41858.51,2918
1736245800,41858.51,41882.35,41725.44,41748.02,3002
1736246700,41748.02,41773.46,41738.69,41740.1,2889
1736247600,41740.1,41753.88,41693.9,41699.36,2987
1736248500,41699.36,41763.68,41699.06,41738.14,3001
1736249400,41738.14,41755.06,41656.59,41665.23,3062
1736250300,41665.23,41781.25,41628.37,41725.0,3029
1736251200,41725.0,41762.05,41696.88,41743.12,2994
1736252100,41743.12,41763.71,41738.49,41750.17,3093
1736253000,41750.17,41812.69,41710.19,41792.75,3019
1736253900,41792.75,41880.91,41746.81,41855.66,3019
1736254800,41855.66,41877.76,41841.17,41841.45,3093
1736255700,41841.45,41991.37,41813.36,41947.11,3055
1736256600,41947.11,41994.02,41916.13,41983.04,2987
1736257500,41983.04,42027.33,41938.78,42018.86,3037
1736258400,42018.86,42142.88,42012.52,42109.05,3015
1736259300,42109.05,42150.58,42099.17,42123.35,2928
1736260200,42123.35,42134.82,42096.4,42129.77,2963
1736261100,42129.77,42142.5,42062.02,42071.75,3061
1736262000,42071.75,42151.89,42046.24,42125.51,2959
1736262900,42125.51,42134.09,42066.36,42075.79,3037
1736263800,42075.79,42106.73,42065.48,42073.42,3002
1736264700,42073.42,42079.71,42036.37,42048.89,2914
1736265600,42048.89,42054.96,42026.33,42033.12,3146
1736266500,42033.12,42137.75,41980.53,42108.83,3038
1736267400,42108.83,42117.51,42078.61,42114.58,3038
1736268300,42114.58,42224.74,42105.13,42196.61,3069
1736269200,42196.61,42232.21,42138.74,42184.56,2981
1736270100,42184.56,42187.82,42175.01,42184.12,3017
1736271000,42184.12,42208.28,42144.07,42153.08,2995
1736271900,42153.08,42165.79,42152.73,42158.85,2939
1736272800,42158.85,42175.46,42042.21,42066.63,2916
1736273700,42066.63,42092.26,42045.96,42075.01,2945
1736274600,42075.01,42076.17,42043.2,42050.14,2997
1736275500,42050.14,42104.51,42001.45,42057.47,2959
1736276400,42057.47,42058.17,42050.93,42056.54,3129
1736277300,42056.54,42106.07,42045.81,42075.11,2915
1736278200,42075.11,42088.98,42027.75,42037.9,2959
1736279100,42037.9,42111.11,42016.47,42094.29,2967
1736280000,42094.29,42120.45,42090.62,42117.9,2926
1736280900,42117.9,42119.64,42031.81,42058.57,2943
1736281800,42058.57,42105.89,42034.02,42090.41,3065
1736282700,42090.41,42103.58,42012.84,42046.73,2957
1736283600,42046.73,42049.69,41993.67,42007.86,3003
1736284500,42007.86,42018.13,41997.86,42003.63,2930
1736285400,42003.63,42059.05,41962.73,42030.1,2939
1736286300,42030.1,42032.28,41953.82,41977.15,2925
1736287200,41977.15,42037.55,41947.37,42025.36,2984
1736291700,42025.36,42119.09,42015.85,42046.26,3040
1736292600,42046.26,42084.8,42017.37,42072.92,2876
1736293500,42072.92,42128.7,42053.01,42053.06,3051
1736294400,42053.06,42088.7,42050.34,42063.78,2964
1736295300,42063.78,42114.85,42056.75,42113.98,3021
1736296200,42113.98,42173.83,42088.06,42148.92,2994
1736297100,42148.92,42159.98,42071.06,42082.59,2975
1736298000,42082.59,42132.73,42066.87,42123.41,2992
1736298900,42123.41,42135.43,42090.89,42112.56,3120
1736299800,42112.56,42185.02,42103.78,42182.28,3036
1736300700,42182.28,42213.57,42180.8,42193.02,2975
1736301600,42193.02,42228.95,42184.54,42228.87,3027
1736302500,42228.87,42280.34,42198.05,42270.87,2947
1736303400,42270.87,42296.98,42167.0,42192.46,2929
1736304300,42192.46,42207.92,42171.41,42179.88,3088
1736305200,42179.88,42267.44,42170.8,42214.84,3017
1736306100,42214.84,42244.92,42185.21,42218.83,2984
1736307000,42218.83,42260.46,42218.8,42247.28,3017
1736307900,42247.28,42308.7,42223.43,42291.76,3007
1736308800,42291.76,42320.15,42270.28,42301.09,3090
1736309700,42301.09,42312.03,42226.54,42257.55,3045
1736310600,42257.55,42418.62,42220.79,42384.12,3023
1736311500,42384.12,42405.43,42380.27,42394.29,2952
1736312400,42394.29,42471.48,42392.78,42455.31,2974
1736313300,42455.31,42534.1,42450.37,42532.16,2924
1736314200,42532.16,42555.11,42450.7,42456.39,2988
1736315100,42456.39,42492.41,42425.09,42431.2,2932
1736316000,42431.2,42441.32,42420.96,42438.55,2922
1736316900,42438.55,42482.53,42423.6,42475.59,3000
1736317800,42475.59,42505.37,42444.8,42488.89,2915
1736318700,42488.89,42573.31,42460.51,42542.08,2988
1736319600,42542.08,42600.09,42524.46,42572.48,3060
1736320500,42572.48,42663.58,42535.05,42642.4,3052
1736321400,42642.4,42644.97,42632.56,42634.55,2915
1736322300,42634.55,42681.48,42623.2,42656.56,3047
1736323200,42656.56,42701.22,42644.72,42647.2,2934
1736324100,42647.2,42653.83,42589.13,42606.4,2913
1736325000,42606.4,42677.17,42605.47,42675.62,3001
1736325900,42675.62,42825.33,42625.13,42766.69,2950
1736326800,42766.69,42817.85,42756.98,42805.88,2942
1736327700,42805.88,42843.84,42798.98,42819.47,3024
1736328600,42819.47,42829.39,42782.19,42829.36,3072
1736329500,42829.36,42838.55,42767.14,42773.57,3039
1736330400,42773.57,42835.7,42688.83,42734.34,2813
1736331300,42734.34,42782.54,42677.64,42680.59,2987
1736332200,42680.59,42699.81,42600.44,42604.19,2962
1736333100,42604.19,42625.71,42521.86,42541.99,2895
1736334000,42541.99,42549.94,42467.9,42477.07,2941
1736334900,42477.07,42583.66,42470.63,42558.31,2888
1736335800,42558.31,42692.29,42535.01,42661.33,2951
1736336700,42661.33,42673.59,42588.36,42598.94,2930
1736337600,42598.94,42616.88,42547.13,42569.26,2977
1736338500,42569.26,42630.49,42564.58,42618.17,3101
1736339400,42618.17,42663.78,42496.46,42553.05,2926
1736340300,42553.05,42587.53,42542.72,42555.07,2984
1736341200,42555.07,42569.15,42516.09,42530.33,3000
1736342100,42530.33,42532.5,42411.65,42419.85,3013
1736343000,42419.85,42468.22,42380.94,42452.71,3070
1736343900,42452.71,42554.89,42426.49,42541.54,3021
1736344800,42541.54,42545.86,42415.84,42454.97,2992
1736345700,42454.97,42462.55,42401.05,42419.24,2971
1736346600,42419.24,42465.17,42407.15,42421.55,3037
1736347500,42421.55,42476.94,42420.31,42465.72,2960
1736348400,42465.72,42519.56,42450.82,42503.22,2983
1736349300,42503.22,42503.81,42461.09,42476.15,3029
1736350200,42476.15,42506.12,42414.96,42469.45,2999
1736351100,42469.45,42483.02,42436.15,42476.73,3074
1736352000,42476.73,42526.65,42465.71,42522.39,3047
1736352900,42522.39,42560.86,42482.79,42539.6,3066
1736353800,42539.6,42540.94,42442.97,42495.33,3055
1736354700,42495.33,42557.64,42461.94,42486.96,2988
1736355600,42486.96,42516.6,42453.56,42473.76,3061
1736356500,42473.76,42552.55,42468.66,42506.41,3003
1736357400,42506.41,42589.66,42492.32,42570.53,2981
1736358300,42570.53,42610.65,42563.16,42586.3,2951
1736359200,42586.3,42675.26,42559.25,42627.94,3120
1736360100,42627.94,42699.85,42616.13,42652.97,3024
1736361000,42652.97,42673.08,42635.67,42646.45,2968
1736361900,42646.45,42660.63,42605.41,42637.97,2924
1736362800,42637.97,42750.55,42628.49,42738.77,3092
1736363700,42738.77,42748.32,42707.07,42730.22,2945
1736364600,42730.22,42763.78,42646.17,42677.59,3034
1736365500,42677.59,42733.94,42637.1,42723.72,2928
1736366400,42723.72,42760.57,42716.36,42756.09,2997
1736367300,42756.09,42800.37,42749.66,42752.04,2912
1736368200,42752.04,42796.48,42735.06,42773.32,3018
1736369100,42773.32,42848.32,42726.24,42800.98,2952
1736370000,42800.98,42870.09,42771.06,42834.4,2875
1736370900,42834.4,42849.1,42796.21,42813.79,3090
1736371800,42813.79,42830.61,42803.19,42817.62,3018
1736372700,42817.62,42920.46,42796.06,42885.79,2953
1736373600,42885.79,42940.05,42880.28,42939.34,3006
1736378100,42939.34,43019.44,42916.21,43014.83,2990
1736379000,43014.83,43071.41,43007.94,43052.44,2945
1736379900,43052.44,43058.47,42971.46,42973.58,2990
1736380800,42973.58,43002.05,42897.69,42914.55,2895
1736381700,42914.55,42995.56,42907.19,42991.9,3081
1736382600,42991.9,43004.86,42976.98,42979.65,3048
1736383500,42979.65,43038.07,42975.84,42978.15,2976
1736384400,42978.15,43049.84,42956.46,43031.41,2988
1736385300,43031.41,43070.48,42996.81,43037.76,2951
1736386200,43037.76,43076.26,43037.42,43047.63,3041
1736387100,43047.63,43100.97,43006.58,43043.65,2936
1736388000,43043.65,43085.2,43040.74,43070.86,3044
1736388900,43070.86,43093.22,42999.04,43033.97,2934
1736389800,43033.97,43034.55,42991.1,43006.93,3033
1736390700,43006.93,43015.13,42925.93,42955.13,3055
1736391600,42955.13,42970.99,42897.05,42930.68,2942
1736392500,42930.68,43013.8,42929.58,42960.29,2970
1736393400,42960.29,42981.96,42937.55,42968.04,2979
1736394300,42968.04,43001.18,42934.72,42983.02,3023
1736395200,42983.02,43052.88,42916.99,42922.93,3087
1736396100,42922.93,43012.45,42918.6,42982.01,2996
1736397000,42982.01,43022.4,42957.07,43014.53,3061
1736397900,43014.53,43033.58,42927.22,42970.07,3078
1736398800,42970.07,42989.08,42935.43,42986.41,3110
1736399700,42986.41,43000.41,42939.86,42949.9,2947
1736400600,42949.9,42959.18,42889.76,42924.67,3029
1736401500,42924.67,42988.69,42920.97,42968.14,3090
1736402400,42968.14,42997.26,42907.11,42930.97,2961
1736403300,42930.97,42931.61,42849.21,42854.78,3046
1736404200,42854.78,42886.76,42784.74,42785.48,3011
1736405100,42785.48,42837.36,42781.61,42807.25,3054
1736406000,42807.25,42848.27,42746.18,42805.49,2945
1736406900,42805.49,42840.57,42751.07,42786.73,3022
1736407800,42786.73,42821.58,42778.61,42810.13,3097
1736408700,42810.13,42811.52,42731.78,42760.41,2995
1736409600,42760.41,42794.74,42736.06,42748.9,3051
1736410500,42748.9,42756.18,42727.41,42733.78,2959
1736411400,42733.78,42747.22,42630.25,42703.81,3064
1736412300,42703.81,42718.39,42668.54,42669.72,3048
1736413200,42669.72,42712.25,42610.59,42683.69,2954
1736414100,42683.69,42773.21,42662.73,42742.39,3044
1736415000,42742.39,42788.38,42697.79,42760.97,2991
1736415900,42760.97,42798.15,42742.23,42754.95,3041
1736416800,42754.95,42829.75,42753.59,42792.01,3001
1736417700,42792.01,42809.57,42774.44,42787.25,2958
1736418600,42787.25,42793.23,42732.41,42772.03,3036
1736419500,42772.03,42925.07,42769.43,42897.18,2996
1736420400,42897.18,42902.86,42866.12,42866.17,2965
1736421300,42866.17,42906.67,42862.51,42865.93,2968
1736422200,42865.93,42890.98,42779.23,42788.45,3059
1736423100,42788.45,42814.38,42703.3,42716.88,2999
1736424000,42716.88,42767.1,42710.62,42753.5,2984
1736424900,42753.5,42793.24,42695.84,42730.75,3041
1736425800,42730.75,42741.11,42660.22,42671.97,2957
1736426700,42671.97,42714.97,42659.52,42686.51,3021
1736427600,42686.51,42750.76,42675.07,42702.73,3022
1736428500,42702.73,42717.39,42641.29,42698.72,3012
1736429400,42698.72,42701.92,42637.19,42651.9,2973
1736430300,42651.9,42678.31,42553.55,42588.73,2901
1736431200,42588.73,42602.05,42543.82,42545.66,3021
1736432100,42545.66,42553.75,42509.4,42548.36,2992
1736433000,42548.36,42553.13,42463.26,42483.84,2960
1736433900,42483.84,42575.1,42450.9,42562.36,3030
1736434800,42562.36,42570.26,42525.23,42537.59,2951
1736435700,42537.59,42554.1,42496.52,42510.73,2966
1736436600,42510.73,42658.11,42484.83,42601.01,2931
1736437500,42601.01,42616.87,42539.52,42566.12,2992
1736438400,42566.12,42587.31,42486.13,42509.19,3040
1736439300,42509.19,42520.53,42496.01,42497.82,2996
1736440200,42497.82,42565.82,42463.98,42558.35,3004
1736441100,42558.35,42656.64,42555.95,42636.25,2997
1736442000,42636.25,42705.79,42608.3,42675.2,2992
1736442900,42675.2,42772.62,42675.0,42730.73,2989
1736443800,42730.73,42738.96,42633.29,42641.54,2940
1736444700,42641.54,42675.79,42631.21,42668.11,3044
1736445600,42668.11,42696.47,42667.11,42696.45,2953
1736446500,42696.45,42704.66,42684.79,42700.36,3004
1736447400,42700.36,42719.78,42567.6,42598.36,3004
1736448300,42598.36,42658.26,42559.11,42636.57,3052
1736449200,42636.57,42647.02,42569.98,42584.55,3001
1736450100,42584.55,42621.76,42553.12,42575.78,2973
1736451000,42575.78,42662.03,42542.81,42624.31,2954
1736451900,42624.31,42634.0,42555.61,42572.25,2942
1736452800,42572.25,42589.16,42549.49,42561.45,3013
1736453700,42561.45,42628.16,42526.3,42618.25,2991
1736454600,42618.25,42719.59,42610.95,42693.75,3085
1736455500,42693.75,42731.92,42679.57,42709.91,3037
1736456400,42709.91,42756.07,42642.06,42660.46,2996
1736457300,42660.46,42678.74,42547.0,42582.8,3034
1736458200,42582.8,42589.51,42459.38,42486.09,3047
1736459100,42486.09,42543.36,42466.42,42517.61,3016
1736460000,42517.61,42532.23,42469.5,42508.47,2987
1736464500,42508.47,42522.41,42431.81,42458.7,3101
1736465400,42458.7,42523.19,42457.88,42494.03,3086
1736466300,42494.03,42537.77,42420.76,42523.9,3018
1736467200,42523.9,42549.67,42489.22,42497.19,3040
1736468100,42497.19,42601.4,42468.83,42553.07,3001
1736469000,42553.07,42578.66,42506.23,42528.0,2942
1736469900,42528.0,42549.7,42479.46,42511.97,2951
1736470800,42511.97,42543.74,42494.95,42514.54,3019
1736471700,42514.54,42554.43,42459.75,42523.56,2935
1736472600,42523.56,42546.41,42468.14,42490.02,2996
1736473500,42490.02,42551.23,42473.59,42506.59,3003
1736474400,42506.59,42586.76,42499.4,42556.5,2924
1736475300,42556.5,42563.32,42522.61,42528.55,3030
1736476200,42528.55,42547.02,42517.73,42544.79,2987
1736477100,42544.79,42547.42,42490.96,42533.62,2980
1736478000,42533.62,42539.08,42403.26,42442.78,2993
1736478900,42442.78,42443.56,42412.59,42418.91,3015
1736479800,42418.91,42452.34,42398.69,42433.1,2917
1736480700,42433.1,42470.52,42408.89,42464.71,3044
1736481600,42464.71,42486.51,42451.39,42484.21,2991
1736482500,42484.21,42536.4,42456.02,42501.11,3063
1736483400,42501.11,42545.76,42425.34,42441.87,2929
1736484300,42441.87,42529.99,42441.17,42525.98,2912
1736485200,42525.98,42554.58,42506.13,42554.21,2960
1736486100,42554.21,42591.23,42477.23,42491.43,3066
1736487000,42491.43,42524.28,42459.28,42471.67,2968
1736487900,42471.67,42500.13,42460.05,42481.62,2944
1736488800,42481.62,42523.85,42465.05,42500.67,3035
1736489700,42500.67,42525.65,42419.11,42435.68,2951
1736490600,42435.68,42454.91,42352.94,42383.62,2927
1736491500,42383.62,42420.84,42371.27,42406.23,3017
1736492400,42406.23,42442.5,42312.59,42355.71,2939
1736493300,42355.71,42360.04,42320.33,42344.47,2961
1736494200,42344.47,42393.97,42271.79,42278.33,2946
1736495100,42278.33,42339.13,42255.46,42285.25,2912
1736496000,42285.25,42289.21,42206.32,42231.84,3101
1736496900,42231.84,42247.55,42201.03,42212.7,3045
1736497800,42212.7,42243.94,42210.34,42223.5,3053
1736498700,42223.5,42268.63,42149.1,42187.58,3046
1736499600,42187.58,42206.83,42149.25,42156.21,3052
1736500500,42156.21,42176.1,42103.0,42108.27,2987
1736501400,42108.27,42162.81,42096.08,42157.87,2988
1736502300,42157.87,42172.8,42138.62,42167.44,2972
1736503200,42167.44,42169.13,42130.64,42131.34,2936
1736504100,42131.34,42141.86,42082.88,42109.47,3061
1736505000,42109.47,42147.15,42101.53,42126.08,3013
1736505900,42126.08,42193.41,42103.94,42113.75,3036
1736506800,42113.75,42137.06,42061.99,42071.05,3002
1736507700,42071.05,42132.74,42044.31,42111.66,3081
1736508600,42111.66,42152.59,42094.8,42132.43,2991
1736509500,42132.43,42164.83,42073.89,42089.65,3096
1736510400,42089.65,42276.72,42071.28,42234.05,2970
1736511300,42234.05,42241.53,42154.17,42184.51,3082
1736512200,42184.51,42225.39,42169.47,42212.72,3024
1736513100,42212.72,42275.13,42187.71,42228.64,3041
1736514000,42228.64,42240.34,42176.6,42226.79,3006
1736514900,42226.79,42251.72,42183.63,42184.55,2982
1736515800,42184.55,42184.9,42174.42,42179.78,2975
1736516700,42179.78,42182.04,42160.1,42175.18,3088
1736517600,42175.18,42220.7,42155.47,42209.87,2913
1736518500,42209.87,42215.06,42207.42,42214.78,3037
1736519400,42214.78,42242.8,42212.64,42223.63,3063
1736520300,42223.63,42243.32,42209.17,42239.55,3068
1736521200,42239.55,42294.93,42207.42,42268.0,3033
1736522100,42268.0,42268.98,42217.84,42220.09,2948
1736523000,42220.09,42305.87,42185.31,42285.73,2969
1736523900,42285.73,42325.27,42240.35,42258.95,3122
1736524800,42258.95,42356.45,42233.12,42296.92,2972
1736525700,42296.92,42340.61,42283.14,42313.48,2982
1736526600,42313.48,42361.37,42298.27,42341.62,3044
1736527500,42341.62,42352.04,42295.78,42323.05,2985
1736528400,42323.05,42410.3,42291.08,42333.64,2947
1736529300,42333.64,42364.55,42238.35,42238.68,3058
1736530200,42238.68,42274.88,42221.27,42265.81,2979
1736531100,42265.81,42276.97,42162.67,42191.14,3037
1736532000,42191.14,42276.68,42126.98,42253.51,3061
1736532900,42253.51,42265.75,42220.22,42242.44,2955
1736533800,42242.44,42277.44,42194.12,42265.12,2935
1736534700,42265.12,42317.51,42263.72,42283.3,3026
1736535600,42283.3,42293.42,42217.29,42273.12,3003
1736536500,42273.12,42368.79,42272.83,42340.26,2979
1736537400,42340.26,42377.05,42229.3,42233.54,3031
1736538300,42233.54,42240.04,42159.47,42160.31,3041
1736539200,42160.31,42243.08,42109.1,42238.34,2945
1736540100,42238.34,42296.28,42222.82,42280.0,3042
1736541000,42280.0,42334.64,42221.28,42225.03,2967
1736541900,42225.03,42347.03,42200.12,42307.77,2987
1736542800,42307.77,42475.96,42279.77,42438.83,3004
1736543700,42438.83,42510.32,42432.85,42482.68,3045
1736544600,42482.68,42543.93,42456.45,42469.12,3031
1736545500,42469.12,42475.99,42449.17,42469.01,3013
1736546400,42469.01,42523.05,42428.62,42507.62,3026
1736723700,42507.62,42566.74,42483.62,42504.9,2948
1736724600,42504.9,42539.87,42438.12,42451.43,2985
1736725500,42451.43,42500.34,42421.91,42486.89,3022
1736726400,42486.89,42536.54,42425.98,42434.73,3004
1736727300,42434.73,42461.85,42355.11,42402.5,2953
1736728200,42402.5,42510.19,42380.09,42469.32,2974
1736729100,42469.32,42525.38,42320.92,42329.35,2979
1736730000,42329.35,42369.45,42266.09,42335.41,3116
1736730900,42335.41,42490.8,42304.55,42444.98,3056
1736731800,42444.98,42473.82,42400.78,42430.37,2985
1736732700,42430.37,42432.48,42405.38,42422.56,3008
1736733600,42422.56,42550.34,42411.25,42471.9,3029
1736734500,42471.9,42537.42,42459.75,42521.28,3005
1736735400,42521.28,42599.66,42465.71,42581.4,2915
1736736300,42581.4,42586.07,42466.31,42502.15,3007
1736737200,42502.15,42542.02,42455.65,42475.6,3020
1736738100,42475.6,42485.47,42431.91,42449.5,3059
1736739000,42449.5,42455.88,42304.45,42327.34,3013
1736739900,42327.34,42330.35,42321.75,42325.18,3001
1736740800,42325.18,42408.06,42300.71,42407.99,2941
1736741700,42407.99,42440.79,42295.75,42362.17,3023
1736742600,42362.17,42399.19,42312.64,42329.25,2961
1736743500,42329.25,42394.93,42301.64,42358.35,3041
1736744400,42358.35,42422.02,42340.28,42412.78,2917
1736745300,42412.78,42464.96,42395.14,42461.23,3042
1736746200,42461.23,42546.28,42454.75,42494.69,3067
1736747100,42494.69,42533.92,42440.42,42527.47,2903
1736748000,42527.47,42538.67,42490.6,42523.25,2940
1736748900,42523.25,42563.35,42518.86,42555.97,3024
1736749800,42555.97,42582.09,42454.58,42503.48,2985
1736750700,42503.48,42544.75,42493.81,42532.44,2993
1736751600,42532.44,42541.85,42442.15,42503.06,2955
1736752500,42503.06,42506.33,42388.9,42401.94,2999
1736753400,42401.94,42465.08,42353.85,42379.09,3068
1736754300,42379.09,42402.06,42339.17,42400.67,3011
1736755200,42400.67,42481.58,42386.56,42427.12,2957
1736756100,42427.12,42521.41,42424.92,42515.89,3003
1736757000,42515.89,42554.08,42416.48,42457.8,2947
1736757900,42457.8,42468.04,42438.71,42452.57,2966
